Brand,Model,Adtype,Fuel,Year,Price,PriceType,Kilometers,Condition,Color,Transimition,Bodytype,CarUrl
Mercedes-Benz,GLC 200,For Sale,Benzine,2023,"2,000,000",Price,Not Availiable,New,Gold,Automatic,Coupe,https://www.olx.com.eg/en/ad/mercedes-benz-glc-200-coupe-2023-brand-new-ID196978484.html
BMW,418,For Sale,Benzine,2022,"1,850,000",Price,Not Availiable,New,White,Automatic,Coupe,https://www.olx.com.eg/en/ad/b-m-w-g22-4-series-430i-m-performance-kit-coupe-ID196472437.html
Jaguar,XE,For Sale,Benzine,2020,"2,600,000",Price,10000 to 19999,Used,White,Automatic,Sedan,https://www.olx.com.eg/en/ad/jaguar-xe-p250-ID195582491.html
Kia,Sportage,For Sale,Benzine,2021,"1,400,000",Price,60000 to 69999,Used,Red,Automatic,SUV,https://www.olx.com.eg/en/ad/%D8%B3%D8%A8%D9%88%D8%B1%D8%AA%D8%A7%D8%AC-2021-%D8%A3%D8%B9%D9%84%D9%89-%D9%81%D8%A6%D8%A9-%D8%AA%D9%88%D8%A8-%D9%84%D8%A7%D9%8A%D9%86-ID196962966.html
Land Rover,Velar,For Sale,Benzine,2023,"4,450,000",Price,Not Availiable,New,White,Automatic,SUV,https://www.olx.com.eg/en/ad/%D8%B1%D8%A7%D9%86%D8%AC-%D8%B1%D9%88%D9%81%D8%B1-%D9%81%D9%8A%D9%84%D8%A7%D8%B1-2023-ID196946454.html
BYD,F3,For Sale,Natural Gas,2012,"150,000",Price,More than 200000,Used,Black,Manual,Sedan,https://www.olx.com.eg/en/ad/%D8%A8%D9%8A-%D9%88%D8%A7%D9%8A-%D8%AF%D9%8A-2012-%D8%A8%D9%87%D8%A7-%D8%BA%D8%A7%D8%B2-ID196962971.html
Kia,Sportage,For Sale,Benzine,2022,"1,480,000",Price,30000 to 39999,Used,Red,Automatic,SUV,https://www.olx.com.eg/en/ad/%D8%B3%D8%A8%D9%88%D8%B1%D8%AA%D8%A7%D8%AC-%D9%A2%D9%A0%D9%A2%D9%A2-%D9%87%D8%A7%D9%8A-%D9%84%D8%A7%D9%8A%D9%86-%D8%A8%D9%84%D8%A7%D8%B3-ID196968347.html
Skoda,Octavia,For Sale,Benzine,2020,"925,000",Price,100000 to 119999,Used,White,Automatic,Sedan,https://www.olx.com.eg/en/ad/%D8%A7%D9%88%D9%83%D8%AA%D8%A7%D9%81%D9%8A%D8%A7-a7-%D9%A2%D9%A0%D9%A2%D9%A0-%D8%A7%D9%85%D8%A8%D9%8A%D8%B4%D9%86-ID196968297.html
Jeep,Renegade,For Sale,Benzine,2017,"760,000",Price,90000 to 99999,Used,Silver,Automatic,SUV,https://www.olx.com.eg/en/ad/jeep-renegade-2017-%D9%81%D8%A7%D8%A8%D8%B1%D9%8A%D9%83%D8%A9-%D8%A8%D8%A7%D9%84%D9%83%D8%A7%D9%85%D9%84-%D9%83%D8%A7%D9%84%D8%B2%D9%8A%D8%B1%D9%88-ID196991507.html
Mercedes-Benz,GLC 300,For Sale,Benzine,2023,"4,900,000",Price,Not Availiable,New,White,Automatic,SUV,https://www.olx.com.eg/en/ad/glc-300-4matic-suv-new-shape-%D8%AC%D9%8A-%D8%A7%D9%84-%D8%B3%D9%8A-%D9%A3%D9%A0%D9%A0-2023-ID197024335.html
Suzuki,Van,For Sale,Benzine,2023,"70,000",Price,Not Availiable,New,Other Color,Manual,Van / Bus,https://www.olx.com.eg/en/ad/%D8%B3%D9%88%D8%B2%D9%88%D9%83%D9%8A-%D9%81%D8%A7%D9%86-2023-ID193744882.html
Soueast,Other,For Sale,Benzine,2022,"800,000",Price,Not Availiable,New,Burgundy,Automatic,Not Availiable,https://www.olx.com.eg/en/ad/%D8%B3%D8%A7%D9%88%D8%A7%D9%8A%D8%B3%D8%AA-ID196158574.html
Kia,Xceed,For Sale,Benzine,2022,"250,000",Price,Not Availiable,New,Gray,Automatic,SUV,https://www.olx.com.eg/en/ad/%D9%83%D9%8A%D8%A7-%D8%A7%D9%83%D8%B3%D9%8A%D8%AF-kia-exceed-ID196820463.html
Peugeot,508,For Sale,Benzine,2022,"1,850,000",Price,Not Availiable,New,Black,Automatic,Coupe,https://www.olx.com.eg/en/ad/%D8%B1%D8%AE%D8%B5%D8%AA-%D9%88%D9%84%D9%85-%D8%AA%D8%B3%D8%AA%D8%B9%D9%85%D9%84-%D8%B2%D9%8A%D8%B1%D9%88-peugeot-508gt-max-2022-%D8%A3%D8%B9%D9%84%D9%8A-%D9%81%D8%A6%D9%87-ID196601814.html
Chevrolet,Spark,For Sale,Benzine,2010,"185,000",Price,80000 to 89999,Used,Red,Manual,Hatchback,https://www.olx.com.eg/en/ad/chevrolet-spark-se-%D9%81%D8%A7%D8%A8%D8%B1%D9%8A%D9%82%D8%A9-%D8%A8%D8%A7%D9%84%D9%83%D8%A7%D9%85%D9%84-%D8%A8%D8%AD%D8%A7%D9%84%D8%A9-%D9%85%D9%85%D8%AA%D8%A7%D8%B2%D8%A9-ID196623320.html
MG,MG 5,For Sale,Benzine,2021,"530,000",Price,40000 to 49999,Used,White,Automatic,Not Availiable,https://www.olx.com.eg/en/ad/mg5-2019-ID196689259.html
Renault,Megane,For Sale,Benzine,2021,"575,000",Price,80000 to 89999,Used,Red,Automatic,Sedan,https://www.olx.com.eg/en/ad/%D8%B1%D9%8A%D9%86%D9%88-%D9%85%D9%8A%D8%AC%D8%A7%D9%86-%D9%85%D9%88%D8%AF%D9%8A%D9%84-2021-%D8%A7%D9%84%D9%81%D8%A6%D9%87-%D8%A7%D9%84%D8%A7%D9%88%D9%84%D9%8A-%D9%85%D8%AA%D8%A7%D8%AD-%D8%AA%D9%82%D8%B3%D9%8A%D8%B7-50-%D8%A8%D8%B5%D9%88%D8%B1%D9%87-%D8%A7%D9%84%D8%A8%D8%B7%D8%A7%D9%82%D9%87-ID197009930.html
Porsche,Cayenne,For Sale,Benzine,2022,"4,000,000",Price,Not Availiable,New,Black,Automatic,Not Availiable,https://www.olx.com.eg/en/ad/porsche-cayenne-s-2022-platinum-edition-ID196982380.html
Mercedes-Benz,C200,For Sale,Benzine,2023,"500,000",Price,Not Availiable,New,Not Available,Automatic,Sedan,https://www.olx.com.eg/en/ad/mercedes-benz-c200-20222023-%D8%A8%D9%85%D9%82%D8%AF%D9%85-%D9%8A%D8%A8%D8%AF%D8%A7-%D9%85%D9%86-500000-ID196454074.html
Renault,Duster,For Sale,Benzine,2018,"410,000",Price,100000 to 119999,Used,Silver,Automatic,Not Availiable,https://www.olx.com.eg/en/ad/%D8%B1%D9%8A%D9%86%D9%88-%D8%AF%D8%A7%D8%B3%D8%AA%D8%B1-2018-%D8%A7%D8%B9%D9%84%D9%8A-%D9%81%D8%A6%D9%87-%D9%85%D9%85%D8%AA%D8%A7%D8%B2%D9%87-ID197051257.html
Opel,Crossland,For Sale,Benzine,2023,"280,000",Price,Not Availiable,New,Red,Automatic,SUV,https://www.olx.com.eg/en/ad/opel-corca-2023-ID196833410.html
BMW,X6,For Sale,Benzine,2018,"2,000,000",Price,0 to 9999,Used,Not Available,Automatic,SUV,https://www.olx.com.eg/en/ad/bmw-x6-2018-used-%D9%85%D8%AA%D8%A7%D8%AD-%D8%A7%D9%84%D8%A7%D9%86-%D8%A7%D8%B3%D8%AA%D9%84%D8%A7%D9%85-%D9%81%D9%88%D8%B1%D9%89-ID196783370.html
Volkswagen,Passat,For Sale,Benzine,2023,"585,000",Price,Not Availiable,New,Not Available,Automatic,Sedan,https://www.olx.com.eg/en/ad/volkswagen-passat-2023-%D9%81%D9%88%D9%84%D9%83%D8%B3-%D9%81%D8%A7%D8%AC%D9%86-%D8%A8%D8%A7%D8%B3%D8%A7%D8%AA-ID196962765.html
Land Rover,Velar,For Sale,Benzine,2023,"2,350,000",Price,Not Availiable,New,Gray,Automatic,SUV,https://www.olx.com.eg/en/ad/range-rover-velar-r-dynamic-se-p250-2023-brand-new-ID196360645.html
Chevrolet,Optra,For Sale,Benzine,2022,"515,000",Price,0 to 9999,Used,Blue- Navy Blue,Automatic,Sedan,https://www.olx.com.eg/en/ad/%D9%81%D8%A8%D8%B1%D9%8A%D9%83%D8%A7-%D8%A8%D8%A7%D9%84%D9%83%D8%A7%D9%85%D9%84-%D9%83%D8%B3%D8%B1-%D8%B2%D9%8A%D8%B1%D9%88-%D8%A7%D8%B9%D9%84-%D9%81%D8%A6%D9%87-ID196950887.html
Porsche,Cayenne,For Sale,Benzine,2016,"1,300,000",Price,160000 to 179999,Used,Gold,Automatic,SUV,https://www.olx.com.eg/en/ad/porsche-cayenne-gts2016-%D8%AC%D9%85%D8%B1%D9%83-ID196883397.html
Mercedes-Benz,GLC 350,For Sale,Benzine,2023,"2,000,000",Price,Not Availiable,New,Not Available,Automatic,SUV,https://www.olx.com.eg/en/ad/mercedes-glc300-%D9%85%D8%B1%D8%B3%D9%8A%D8%AF%D8%B3-%D8%A7%D8%B3%D8%AA%D9%84%D8%A7%D9%85-%D9%81%D9%88%D8%B1%D9%89-2023-ID197021900.html
Other make,Other,Wanted Item,Benzine,2019,"707,000",Price,20000 to 29999,Used,Other Color,Automatic,Sedan,https://www.olx.com.eg/en/ad/%D8%B4%D8%B1%D8%A7%D8%A1-%D8%AD%D8%A7%D8%AF%D8%AB%D8%A9-%D8%AD%D8%A7%D8%AF%D8%AB-%D8%B3%D9%8A%D8%A7%D8%B1%D8%A7%D8%AA-%D8%AD%D9%88%D8%A7%D8%AF%D8%AB-%D8%AD%D8%A7%D8%AF%D8%AB%D9%87-ID196016108.html
Hyundai,Tucson,For Sale,Benzine,2020,"1,260,000",Price,80000 to 89999,Used,Silver,Automatic,SUV,https://www.olx.com.eg/en/ad/%D8%AA%D9%88%D8%B3%D8%A7%D9%86-2020-%D8%A3%D8%B9%D9%84%D9%89-%D9%81%D8%A6%D8%A9-%D8%A7%D9%84%D8%B3%D8%A7%D8%AF%D8%B3%D8%A9-%D8%AA%D8%B1%D8%A8%D9%88-ID196964336.html
Fiat,Tipo,For Sale,Benzine,2020,"375,000",Price,60000 to 69999,Used,Gray,Manual,Sedan,https://www.olx.com.eg/en/ad/%D9%81%D9%8A%D8%A7%D8%AA-%D8%AA%D9%8A%D8%A8%D9%88-2020-%D9%81%D8%A7%D8%A8%D8%B1%D9%8A%D9%83%D9%87-ID196988442.html
Land Rover,Range Rover Sport SVR,For Sale,Benzine,2022,"10,000,000",Price,Not Availiable,New,Other Color,Automatic,SUV,https://www.olx.com.eg/en/ad/range-rover-sport-svr-carbon-fiber-edition-%D8%A7%D9%84%D8%B3%D8%B9%D8%B1-12500000-ID196471928.html
Chery,Tiggo,For Sale,Benzine,2023,"620,000",Price,0 to 9999,Used,Silver,Automatic,SUV,https://www.olx.com.eg/en/ad/%D8%B4%D9%8A%D8%B1%D9%8A-%D8%AA%D9%8A%D8%AC%D9%88-3-2023-100-%D9%83%D9%8A%D9%84%D9%88-%D9%81%D9%82%D8%B7-%D8%B2%D9%8A%D8%B1%D9%88%D9%88%D9%88%D9%88-%D9%84%D8%AF%D9%8A-%D8%A7%D9%88%D8%AA%D9%88-%D9%85%D9%81%D8%AA%D8%A7%D8%AD-%D9%84%D8%AA%D8%AC%D8%A7%D8%B1%D8%A9-%D8%A7%D9%84%D8%B3%D9%8A%D8%A7%D8%B1%D8%A7%D8%AA-ID196997109.html
Mercedes-Benz,E250,For Sale,Benzine,2012,"1,750,000",Price,100000 to 119999,Used,Blue- Navy Blue,Automatic,Sedan,https://www.olx.com.eg/en/ad/%D9%81%D8%A8%D8%B1%D9%8A%D9%83%D8%A7-%D8%A8%D8%B1%D9%87-%D9%88-%D8%AC%D9%88%D9%87-%D8%A8%D8%A7%D9%84%D9%83%D8%A7%D9%85%D9%84-%D8%A8%D8%AF%D9%88%D9%86-%D8%AE%D8%AF%D8%B4-%D8%A7%D8%B9%D9%84%D9%89-%D9%81%D8%A6%D9%87-%D8%B5%D9%8A%D8%A7%D9%86%D9%87-%D8%AA%D9%88%D9%83%D9%8A%D9%84-ID197049735.html
Land Rover,Range Rover Sport SVR,For Sale,Benzine,2022,"4,500,000",Price,Not Availiable,New,Blue- Navy Blue,Automatic,SUV,https://www.olx.com.eg/en/ad/range-rover-sport-svr-ID196800224.html
MG,RX5,For Sale,Benzine,2022,"500,000",Price,Not Availiable,New,Black,Automatic,SUV,https://www.olx.com.eg/en/ad/mg-rx5-p1-ID196325632.html
Hyundai,Creta,For Sale,Benzine,2023,"1,090,000",Price,0 to 9999,Used,Blue- Navy Blue,Automatic,SUV,https://www.olx.com.eg/en/ad/%D9%87%D9%8A%D9%88%D9%86%D8%AF%D8%A7%D9%8A-%D9%83%D8%B1%D9%8A%D8%AA%D8%A7-2023-%D8%B1%D8%AE%D8%B5%D8%AA-%D9%88%D9%84%D9%85-%D8%AA%D8%B3%D8%AA%D8%AE%D8%AF%D9%85-%D9%81%D8%A7%D8%A8%D8%B1%D9%8A%D9%83%D8%A9-%D8%A7%D8%AF%D9%81%D8%B9-295-%D8%A7%D9%84%D9%81-%D9%88%D8%A7%D8%B3%D8%AA%D9%84%D9%85-%D8%B9%D8%B1%D8%A8%D9%8A%D8%AA%D9%83-ID196995578.html
Mercedes-Benz,A200,For Sale,Benzine,2022,"4,400,000",Price,Not Availiable,New,Gold,Automatic,Cabriolet,https://www.olx.com.eg/en/ad/mercedes-e200-coupe-cabriolet-limited-edition-2022-ID197024132.html
MG,MG 5,For Sale,Benzine,2022,"175,000",Price,Not Availiable,New,Red,Automatic,Sedan,https://www.olx.com.eg/en/ad/mg-5-%D8%A8%D8%A7%D9%84%D8%AA%D9%82%D8%B3%D9%8A%D8%B7-%D9%A3%D9%A0%D9%85%D9%82%D8%AF%D9%85-%D8%A8%D8%B5%D9%88%D8%B1%D9%87-%D8%A7%D9%84%D8%A8%D8%B7%D8%A7%D9%82%D9%87-%D9%88%D8%B9%D9%86%D9%88%D8%A7%D9%86-%D8%A7%D9%84%D8%B9%D9%85%D9%84-ID190013212.html
Land Rover,Range Rover Vogue,For Sale,Benzine,2021,"10,000,000",Price,10000 to 19999,Used,Black,Automatic,SUV,https://www.olx.com.eg/en/ad/2021-range-rover-vogue-autobiography-only-23000km-p525-5000cc-v8-ID196960261.html
BYD,F3,For Sale,Benzine,2023,"73,000",Price,Not Availiable,New,Not Available,Automatic,Sedan,https://www.olx.com.eg/en/ad/%D8%A8%D9%89-%D9%88%D8%A7%D9%89-%D8%AF%D9%89-f3-2023-%D9%85%D8%A7%D9%86%D9%8A%D9%88%D8%A7%D9%84-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D9%83%D8%A7%D8%B4-%D8%A7%D9%88-%D9%82%D8%B3%D8%B7-ID188627797.html
Daewoo,Lanos,For Sale,Benzine,2007,"90,000",Price,120000 to 139999,Used,Blue- Navy Blue,Manual,Sedan,https://www.olx.com.eg/en/ad/%D8%A7%D8%AF%D9%81%D8%B9-90-%D8%A7%D9%84%D9%81-%D9%88%D9%82%D8%B3%D8%B7-%D8%A7%D9%84%D8%A8%D8%A7%D9%82%D9%8A-%D9%88%D8%A7%D8%B3%D8%AA%D9%84%D9%85-%D8%AF%D8%A7%D9%8A%D9%88-%D9%84%D8%A7%D9%86%D9%88%D8%B3-2007-%D9%83%D8%B3%D8%B1-%D8%B2%D9%8A%D8%B1%D9%88-ID196882006.html
Nissan,Qashqai,For Sale,Benzine,2019,"830,000",Price,90000 to 99999,Used,Gray,Automatic,Not Availiable,https://www.olx.com.eg/en/ad/nissan-qashqai-2019-ID197024762.html
Mercedes-Benz,E200,For Sale,Benzine,2022,"4,450,000",Price,Not Availiable,New,Not Available,Automatic,Cabriolet,https://www.olx.com.eg/en/ad/%D9%81%D8%B1%D8%B1%D8%B1%D8%B5%D9%87-e200-amg-cabriolet-2022-%D8%B2%D9%8A%D8%B1%D9%88-%D8%A8%D8%B6%D9%85%D8%A7%D9%86-%D8%A7%D9%84%D9%88%D9%83%D9%8A%D9%84-ID196599080.html
Mercedes-Benz,C200,For Sale,Benzine,2009,"790,000",Price,More than 200000,Used,Gray,Automatic,Sedan,https://www.olx.com.eg/en/ad/c200-2009-%D9%85%D8%B1%D8%B3%D9%8A%D8%AF%D8%B3-ID197048664.html
Other make,Other,For Sale,Benzine,2007,"500,000",Price,140000 to 159999,Used,Black,Manual,Not Availiable,https://www.olx.com.eg/en/ad/%D9%86%D9%8A%D8%B3%D8%A7%D9%86-%D8%A8%D8%AA%D8%B1%D9%88%D9%84-ID197016313.html
Skoda,Octavia,For Sale,Benzine,2014,"630,000",Price,160000 to 179999,Used,Brown,Automatic,Sedan,https://www.olx.com.eg/en/ad/skoda-octavia-ID197065414.html
Nissan,Sunny,For Sale,Benzine,2016,"340,000",Price,160000 to 179999,Used,Gold,Automatic,Sedan,https://www.olx.com.eg/en/ad/%D9%81%D8%A8%D8%B1%D9%8A%D9%83%D8%A9-%D8%A8%D8%A7%D9%84%D9%83%D8%A7%D9%85%D9%84-ID197065382.html
Hyundai,Elantra,For Sale,Benzine,2013,"405,000",Price,120000 to 139999,Used,Black,Automatic,Coupe,https://www.olx.com.eg/en/ad/%D9%87%D9%8A%D9%88%D9%86%D8%AF%D8%A7%D9%8A-%D8%A7%D9%84%D9%86%D8%AA%D8%B1%D8%A7-%D8%A7%D8%B9%D9%84%D9%8A-%D9%81%D8%A6%D8%A9-%D8%A8%D8%B5%D9%85%D8%A9-%D8%AE%D9%84%D9%8A%D8%AC%D9%8A-spore-ID197065316.html
Jeep,Cherokee,For Sale,Benzine,2008,"520,000",Price,180000 to 199999,Used,Black,Automatic,4X4,https://www.olx.com.eg/en/ad/%D8%B5%D8%A7%D8%AD%D8%A8-%D8%A7%D9%84%D8%B3%D9%8A%D8%A7%D8%B1%D9%87-ID197065215.html
Toyota,Hilux,For Sale,Diesel,2010,"310,000",Price,Not Availiable,New,White,Manual,Sedan,https://www.olx.com.eg/en/ad/%D8%B3%D9%8A%D8%A7%D8%B1%D8%A7%D8%AA-%D9%85%D8%B3%D8%AA%D8%B9%D9%85%D9%84%D8%A9-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-ID197065186.html
MINI,Cooper s,For Sale,Benzine,2021,"1,600,000",Price,20000 to 29999,Used,White,Automatic,Hatchback,https://www.olx.com.eg/en/ad/mini-cooper-s-ID197009665.html
Land Rover,Range Rover Sport SVR,For Sale,Benzine,2022,"8,750,000",Price,30000 to 39999,Used,Black,Automatic,SUV,https://www.olx.com.eg/en/ad/range-rover-svr-mti-2022-ID197065126.html
Mercedes-Benz,C180,For Sale,Benzine,2015,"1,450,000",Price,100000 to 119999,Used,White,Automatic,Sedan,https://www.olx.com.eg/en/ad/%D8%B3%D9%8A%D8%A7%D8%B1%D9%87-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-ID197064854.html
Ford,Kuga,For Sale,Benzine,2019,"1,150,000",Price,50000 to 59999,Used,Gold,Automatic,Not Availiable,https://www.olx.com.eg/en/ad/%D9%83%D9%88%D8%AC%D8%A7-%D8%B2%D9%8A%D8%B1%D9%88%D9%88%D9%88%D9%88-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-2019-ID196481996.html
Nissan,Qashqai,For Sale,Benzine,2017,"780,000",Price,60000 to 69999,Used,Gray,Automatic,SUV,https://www.olx.com.eg/en/ad/%D9%86%D9%8A%D8%B3%D8%A7%D9%86-%D9%82%D8%B3%D9%82%D8%A7%D9%8A-2017%D8%AA%D9%88%D8%A8-%D9%84%D9%8A%D9%86-ID197064811.html
Kia,Cerato,For Sale,Benzine,2014,"450,000",Price,100000 to 119999,Used,Not Available,Automatic,Sedan,https://www.olx.com.eg/en/ad/%D9%83%D9%8A%D8%A7-%D8%B3%D9%8A%D8%B1%D8%A7%D8%AA%D9%88-%D9%81%D8%A7%D8%A8%D8%B1%D9%8A%D9%83%D9%87-ID197064771.html
Hyundai,Accent,For Sale,Benzine,2010,"229,000",Price,120000 to 139999,Used,Burgundy,Manual,Sedan,https://www.olx.com.eg/en/ad/%D8%A7%D9%83%D8%B3%D9%86%D8%AA-%D9%A2%D9%A0%D9%A1%D9%A0-%D9%85%D8%A7%D9%86%D9%8A%D9%88%D8%A7%D9%84-ID197064362.html
BMW,X1,For Sale,Benzine,2023,"2,825,000",Price,Not Availiable,New,Gray,Automatic,Not Availiable,https://www.olx.com.eg/en/ad/bmw-x1-sdrive18i-m-sport-2023-special-editions-ID197064662.html
Kia,Pride,For Sale,Benzine,2000,"77,000",Price,120000 to 139999,Used,White,Manual,Not Availiable,https://www.olx.com.eg/en/ad/%D9%83%D9%8A%D8%A7-%D8%A8%D8%B1%D8%A7%D9%8A%D8%AF-%D9%A2%D9%A0%D9%A0%D9%A0-ID197064590.html
Hyundai,Tucson,For Sale,Benzine,2019,"1,150,000",Price,50000 to 59999,Used,Red,Automatic,SUV,https://www.olx.com.eg/en/ad/%D8%AA%D9%88%D8%B3%D8%A7%D9%86-%D9%A1%D9%A9-%D8%A7%D9%84%D8%B4%D9%83%D9%84-%D8%A7%D9%84%D8%AC%D8%AF%D9%8A%D8%AF-%D9%A2%D9%A0%D9%A2%D9%A0-%D9%81%D8%A8%D8%B1%D9%8A%D9%83%D8%A7-%D8%A8%D8%A7%D9%84%D9%83%D8%A7%D9%85%D9%84-%D8%AE%D9%84%D9%8A%D8%AC%D9%8A-ID197031304.html
Mercedes-Benz,GLC 200,For Sale,Benzine,2023,"4,450,000",Price,Not Availiable,New,White,Automatic,SUV,https://www.olx.com.eg/en/ad/glc200-4matic-amg-2023-zero-fully-loaded-ID197008098.html
Nissan,Sentra,For Sale,Benzine,2019,"570,000",Price,120000 to 139999,Used,Gray,Automatic,Sedan,https://www.olx.com.eg/en/ad/%D8%B3%D9%86%D8%AA%D8%B1%D8%A7-%D8%B5%D9%8A%D8%A7%D9%86%D8%A7%D8%AA-%D8%AA%D9%88%D9%83%D9%8A%D9%84-%D8%A8%D8%A7%D9%84%D9%81%D9%88%D8%A7%D8%AA%D9%8A%D8%B1-%D8%A8%D9%8A%D8%AA%D9%8A-%D8%AC%D8%AF%D9%8A%D8%AF%D8%A9-%D9%84%D8%A7%D9%86%D8%AC-ID196983053.html
Mercedes-Benz,GLC 300,For Sale,Hybrid,2023,"5,100,000",Price,Not Availiable,New,Not Available,Automatic,SUV,https://www.olx.com.eg/en/ad/glc-300e-new-shape-special-colors-ID196593596.html
Suzuki,Ciaz,For Sale,Benzine,2022,"630,000",Price,10000 to 19999,Used,Not Available,Automatic,Sedan,https://www.olx.com.eg/en/ad/suzuki-ciaz-ID196541803.html
Renault,Megane,For Sale,Benzine,2008,"310,000",Price,More than 200000,Used,Blue- Navy Blue,Automatic,Cabriolet,https://www.olx.com.eg/en/ad/%D8%B1%D9%8A%D9%86%D9%88-%D9%85%D9%8A%D8%AC%D8%A7%D9%86-%D9%83%D8%A7%D8%A8%D9%88%D8%B1%D9%84%D9%8A%D9%87-%D9%83%D9%88%D8%A8%D9%8A%D9%87-ID196168244.html
Nissan,Sunny,For Sale,Benzine,2022,"410,000",Price,70000 to 79999,Used,Gray,Automatic,Sedan,https://www.olx.com.eg/en/ad/%D9%86%D9%8A%D8%B3%D8%A7%D9%86-%D8%B5%D9%86%D9%8A-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D9%85%D9%88%D8%AF%D9%8A%D9%84-%D9%A2%D9%A0%D9%A2%D9%A2-ID195671812.html
Renault,Megane,For Sale,Benzine,2018,"700,000",Price,90000 to 99999,Used,Black,Automatic,Sedan,https://www.olx.com.eg/en/ad/%D9%85%D9%8A%D8%AC%D8%A7%D9%86-2018-%D8%AA%D8%B1%D8%A8%D9%88-ID197064274.html
Toyota,Corolla,For Sale,Benzine,2016,"600,000",Price,120000 to 139999,Used,Silver,Automatic,Sedan,https://www.olx.com.eg/en/ad/%D8%AA%D9%88%D9%8A%D9%88%D8%AA%D8%A7-%D9%83%D9%88%D8%B1%D9%88%D9%84%D8%A7-%D9%A2%D9%A0%D9%A1%D9%A4-%D8%A7%D9%88%D8%AA%D9%88-%D8%A8%D8%A7%D8%B1%D9%83-%D8%A8%D8%AD%D8%A7%D9%84%D8%A9-%D9%85%D9%85%D8%AA%D8%A7%D8%B2%D8%A9-ID197064238.html
Chevrolet,Optra,For Sale,Benzine,2019,"380,000",Price,70000 to 79999,Used,Not Available,Automatic,Sedan,https://www.olx.com.eg/en/ad/%D8%A8%D8%B3%D8%B9%D8%B1-%D9%84%D9%82%D8%B7%D9%87-ID197056664.html
Mercedes-Benz,GLC 300,For Sale,Benzine,2023,"5,000,000",Price,Not Availiable,New,Not Available,Automatic,Coupe,https://www.olx.com.eg/en/ad/glc-300-suv-2023-ID194785510.html
BYD,F3,For Sale,Benzine,2018,"230,000",Price,100000 to 119999,Used,Burgundy,Manual,Sedan,https://www.olx.com.eg/en/ad/%D8%A8%D9%8A-%D9%88%D8%A7%D9%8A-%D8%AF%D9%8A-f3-%D9%81%D8%A7%D8%A8%D8%B1%D9%8A%D9%83%D9%87-ID197063740.html
MG,6,For Sale,Benzine,2021,"755,000",Price,30000 to 39999,Used,Not Available,Automatic,Sedan,https://www.olx.com.eg/en/ad/%D8%A7%D9%85-%D8%AC%D9%8A-%D9%A6-ID196346915.html
BMW,X3,For Sale,Benzine,2011,"650,000",Price,More than 200000,Used,Black,Automatic,4X4,https://www.olx.com.eg/en/ad/%D8%A7%D9%83%D8%B3-%D9%A3-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-ID197063837.html
Toyota,Corona,For Sale,Benzine,2020,"650,000",Price,30000 to 39999,Used,White,Automatic,Sedan,https://www.olx.com.eg/en/ad/%D9%88%D9%8A%D9%88%D8%AA%D8%A7-%D9%83%D9%88%D8%B1%D9%88%D9%84%D8%A7-%D9%A2%D9%A0%D9%A2%D9%A0-%D8%B9%D8%AF%D8%A7%D8%AF-%D9%A3%D9%A8-%D8%A7%D9%84%D9%81-%D8%B1%D8%AE%D8%B5%D9%87-%D9%A3-%D8%B3%D9%86%D9%88%D8%A7%D8%AA-%D9%85%D9%86-%D8%A7%D9%84%D9%85%D8%A7%D9%84%D9%83-%D8%B1%D8%B4-%D8%AE%D8%A7%D8%B1%D8%AC%D9%89-%D9%81%D9%82%D8%B7-ID197064024.html
Mitsubishi,Lancer,For Sale,Benzine,1998,"92,000",Price,180000 to 199999,Used,Not Available,Manual,Sedan,https://www.olx.com.eg/en/ad/%D9%84%D8%A7%D9%86%D8%B3%D8%B1-%D9%83%D8%B1%D9%8A%D8%B3%D8%AA%D8%A7%D9%84%D9%87-98-ID197064001.html
Nissan,Juke,For Sale,Benzine,2015,"510,000",Price,120000 to 139999,Used,Not Available,Automatic,SUV,https://www.olx.com.eg/en/ad/%D9%86%D9%8A%D8%B3%D8%A7%D9%86-%D8%AC%D9%88%D9%83-%D8%AD%D8%A7%D9%84%D9%87-%D8%B2%D9%8A%D8%B1%D9%88%D9%88%D9%88-%D9%81%D8%A8%D8%B1%D9%8A%D9%83%D9%87-%D8%A8%D8%A7%D9%84%D9%83%D8%A7%D9%85%D9%84-ID197063999.html
Volkswagen,Tiguan,For Sale,Benzine,2015,"910,000",Price,More than 200000,Used,Blue- Navy Blue,Automatic,SUV,https://www.olx.com.eg/en/ad/%D9%81%D9%88%D9%84%D9%83%D8%B3-%D8%AA%D9%8A%D8%AC%D9%88%D8%A7%D9%86-%D9%A2%D9%A0%D9%A1%D9%A5-%D8%A7%D8%B9%D9%84%D9%89-%D9%81%D8%A6%D8%A9-%D8%A8%D8%A7%D9%86%D9%88%D8%B1%D8%A7%D9%85%D8%A7-ID196054584.html
